method_name,method,pred_method,gt_method,bucket_reference_gt_method,object_precision,object_recall,object_f1,mean_matched_iou,pred_instance_count,gt_instance_count,count_error,merge_count,split_count,evaluated_images,gt_fixed
cc,cc,cc,cc,cc,0.708344,0.671822,0.6896,0.782377,33975,35822,-1847,2649,1657,933,0
watershed,watershed,watershed,watershed,watershed,0.714376,0.643928,0.677325,0.782225,34871,38686,-3815,3069,1511,933,0
