epoch,tau_phase,tau_override_value,train_tau_mean,train_tau_std,train_tau_min,train_tau_max,train_tau_p10,train_tau_p50,train_tau_p90,val_tau_mean,val_tau_std,val_tau_min,val_tau_max,val_tau_p10,val_tau_p50,val_tau_p90
1,warmup_fixed_tau,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
2,warmup_fixed_tau,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
3,warmup_fixed_tau,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
4,adaptive_tau,,0.10142775624990463,0.012414392083883286,0.0999755859375,0.27099609375,0.0999755859375,0.0999755859375,0.1002197265625,0.09997972846031189,1.6389425582019612e-05,0.0999755859375,0.1004638671875,0.0999755859375,0.0999755859375,0.0999755859375
5,adaptive_tau,,0.09997657686471939,7.860829100536648e-06,0.0999755859375,0.1002197265625,0.0999755859375,0.0999755859375,0.0999755859375,0.09997560828924179,1.1760384950321168e-06,0.0999755859375,0.10003662109375,0.0999755859375,0.0999755859375,0.0999755859375
6,adaptive_tau,,0.0999755933880806,8.902312629288645e-07,0.0999755859375,0.10003662109375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
7,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
8,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
9,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
10,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
11,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
12,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
13,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
14,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
15,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
16,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
17,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
18,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
19,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
20,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
21,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
22,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
23,adaptive_tau,,0.0999755859375,0.0,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755933880806,7.450580596923828e-09,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375,0.0999755859375
