epoch,loss_mode,gap_01,gap_12,gap_23,s0,s1,s2,s3,tau,train_tau_mean,train_tau_std,val_tau_mean,val_tau_std,train_loss,train_macro_f1,train_unimodal,train_concentration,val_loss,val_macro_f1,val_unimodal,val_concentration
1,adaptive_ucl_cda,1.122896671295166,0.8710950613021851,0.9345501661300659,0.0,0.3834318518638611,0.6808817982673645,0.9999997019767761,0.04998779296875,0.05090398951323939,0.016486429476876334,0.04999603639848828,3.330251844789206e-05,0.5421778522227859,0.6390394161638872,0.036907434256735976,0.04183034619766864,0.4090123446815636,0.69364386507266,0.033654392210667614,0.034111557004302254
2,adaptive_ucl_cda,1.1826021671295166,0.8138195276260376,0.9496520757675171,0.0,0.40141624212265015,0.6776548624038696,0.9999997019767761,0.04998779296875,0.04998886036684717,1.882084384459152e-05,0.049988216871227946,9.676107671178055e-06,0.4931006687823648,0.6731200431317744,0.03347094964716064,0.039696028092808804,0.39245454806512775,0.708198997967948,0.02831785348139253,0.031895784919367225
3,adaptive_ucl_cda,1.2016874551773071,0.8085218071937561,0.9595016241073608,0.0,0.4046478271484375,0.6769038438796997,0.9999997019767761,0.04998779296875,0.04998785809359364,2.717729089866285e-06,0.049987812803758996,1.0184752231881439e-06,0.475949614677782,0.6850577993427954,0.03193524154798063,0.03906818381262258,0.38653179027050205,0.7204531147934095,0.025431702748014724,0.03191881259156394
4,adaptive_ucl_cda,1.2031372785568237,0.8197682499885559,0.9566512107849121,0.0,0.4037972688674927,0.6789281368255615,0.9999997019767761,0.04998779296875,0.049987796024461136,6.107395876228649e-07,0.04998779296875,0.0,0.44634770457338596,0.7032816285871495,0.029689607255469336,0.03805724836113655,0.389983364090448,0.7066245586057124,0.0289135463789324,0.04119418710158894
5,adaptive_ucl_cda,1.2010165452957153,0.8224448561668396,0.9624761343002319,0.0,0.4022241234779358,0.6776634454727173,0.9999997019767761,0.04998779296875,0.04998779335071389,2.1593231566637406e-07,0.04998779296875,0.0,0.4253991770360719,0.7155888744902102,0.028437402474597327,0.037022138448973896,0.3798865028717724,0.7155597815366069,0.028313860973697518,0.029721685074807637
6,adaptive_ucl_cda,1.2090049982070923,0.8354713320732117,0.9442939758300781,0.0,0.40451574325561523,0.6840524673461914,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.40953693536642805,0.7247817203198771,0.02751247783104025,0.03650421990764233,0.3865938770390542,0.7123210554546731,0.028413989235140946,0.030756597754579236
7,adaptive_ucl_cda,1.2009309530258179,0.831152081489563,0.9603322744369507,0.0,0.4013248085975647,0.6790776252746582,0.9999997019767761,0.04998779296875,0.049987793159731946,1.5268720468500727e-07,0.04998779296875,0.0,0.3965376004784917,0.7344366308972506,0.026742381146677544,0.03566557142700845,0.3904575460076941,0.7100444929693059,0.029680054223335545,0.030147485318338583
8,adaptive_ucl_cda,1.203675389289856,0.8289443254470825,0.9623558521270752,0.0,0.4018981158733368,0.6786763668060303,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.3867964769083127,0.7393255254309943,0.026163899847386828,0.0355272441118962,0.36573039677025215,0.7225345091501698,0.027486679039811668,0.030793518698458647
9,adaptive_ucl_cda,1.1985138654708862,0.8315922617912292,0.9654695987701416,0.0,0.40009453892707825,0.6777012944221497,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.376198245545267,0.744275184743276,0.025582709533930464,0.034835254830298756,0.3760801329275553,0.7280147707578285,0.026782682875774694,0.03118702250645654
10,adaptive_ucl_cda,1.205566167831421,0.8342026472091675,0.9574296474456787,0.0,0.4022308588027954,0.6805582046508789,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.3674105969017731,0.7511197510281127,0.025049446235380777,0.034246682829147564,0.36751109511580254,0.7170927239028284,0.03035190689975447,0.03431064774857544
11,adaptive_ucl_cda,1.2045928239822388,0.834225594997406,0.9584305286407471,0.0,0.4018993377685547,0.680229663848877,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.3587701235995073,0.7543041617884226,0.024493982367310374,0.03399275330272597,0.35883581935148773,0.7262473988694635,0.02852995904043235,0.03194443103690444
12,adaptive_ucl_cda,1.198226809501648,0.8409880995750427,0.9575661420822144,0.0,0.39983782172203064,0.6804682016372681,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.34941388111047644,0.7600196096355498,0.023894743800868166,0.03345806213993996,0.36759869203614826,0.7422934524965,0.024820419752837972,0.029551245834273713
13,adaptive_ucl_cda,1.2064659595489502,0.839093804359436,0.9523651599884033,0.0,0.4024335741996765,0.6823250651359558,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.34163999287621216,0.7646490827661487,0.023602502620980084,0.03308587135473011,0.37702349568801063,0.7306890395015986,0.027804501726316468,0.028259455334211845
14,adaptive_ucl_cda,1.1989854574203491,0.8421949148178101,0.9562669396400452,0.0,0.40000203251838684,0.6809726357460022,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.3333029993825467,0.7679935532541874,0.023144102930336488,0.032902610009214545,0.37599627789272516,0.7174422767060038,0.02936562058098602,0.034408537317586224
15,adaptive_ucl_cda,1.1982240676879883,0.8390354514122009,0.9609970450401306,0.0,0.39964014291763306,0.6794811487197876,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.32522197277435383,0.7729574038635147,0.022852000028394714,0.032221914150040845,0.3774907686870576,0.7199539725426614,0.028077072407868046,0.03440767918363172
16,adaptive_ucl_cda,1.199992299079895,0.8424198031425476,0.9555457830429077,0.0,0.4002697765827179,0.681267499923706,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.3169364168643459,0.7770210404848574,0.022563677805956965,0.03169257924763683,0.3845075537540371,0.7161970132040156,0.02998538439206259,0.02995018501690929
17,adaptive_ucl_cda,1.1954421997070312,0.8489048480987549,0.9527479410171509,0.0,0.3988668620586395,0.6821093559265137,0.9999997019767761,0.04998779296875,0.04998779296875,0.0,0.04998779296875,0.0,0.3083727721844777,0.7817013784169003,0.022256463901559522,0.03129322370157097,0.3699757804934665,0.747075047223157,0.024222692103124575,0.032617954333410526
