epoch,loss_mode,gap_01,gap_12,gap_23,s0,s1,s2,s3,tau,train_loss,train_macro_f1,val_loss,val_macro_f1
1,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6987478605392059,0.6342450226863535,0.5986499423126214,0.6735122745146862
2,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6654966265121867,0.6674249591622584,0.5885705164171748,0.6972947712809021
3,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6541442035100121,0.678679646716616,0.5811626102632135,0.7187009784131981
4,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6346884274172679,0.6976430187252858,0.5916932199592377,0.6816137884244529
5,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6206559578787061,0.7116728347254843,0.5736152532118387,0.7085607416529114
6,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6104319535526549,0.719046917900656,0.5757392404393786,0.7101631713155512
7,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.6012332102615501,0.727043969843586,0.566472692922408,0.7211975910956013
8,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5940532213656388,0.735430096300532,0.5648483353272122,0.7217037909105508
9,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5870686608665246,0.7388424655693827,0.5685944887588947,0.7206630986607405
10,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5813896482705341,0.7458471330430302,0.5622786651746808,0.7112294685601356
11,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5751634068609871,0.7521937141960287,0.5568332211431133,0.7253176971303119
12,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5686090199374919,0.7592877850366604,0.5625685994483413,0.7386289866132059
13,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5633020884998465,0.7628263431766469,0.5606161238379023,0.7352447379208487
14,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5582309035906997,0.7684795095430073,0.5721530564471097,0.7072350150456561
15,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5526389599015783,0.7727804345374066,0.573182641565523,0.7113174107379971
16,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5473909698849205,0.7777755654975973,0.5709652137977721,0.7206697518557051
17,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5413096277458024,0.7826102163620525,0.5582419913326465,0.7409610019899091
18,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5355232299725597,0.7887728564354504,0.570491793858529,0.7238910733583934
19,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5291382743870894,0.7961145886593348,0.5769293276446775,0.715610623513643
20,fixed_cda,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.5240003150579511,0.8007013301347232,0.568051552976185,0.7262453341856874
