image_id,pred_instance_count,gt_instance_count,tp,fp,fn,object_precision,object_recall,object_f1,mean_matched_iou,merge_count,split_count,count_error,density_bucket,prediction_status,pred_file,gt_file
hurricane-michael_00000384,1,0,0,1,0,0.0,1.0,0.0,,0,0,1,sparse,present,hurricane-michael_00000384_pre_disaster.png,hurricane-michael_00000384_pre_disaster_target.png
hurricane-michael_00000385,7,7,4,3,3,0.571429,0.571429,0.571429,0.810786,1,0,0,medium,present,hurricane-michael_00000385_pre_disaster.png,hurricane-michael_00000385_pre_disaster_target.png
hurricane-michael_00000390,1,0,0,1,0,0.0,1.0,0.0,,0,0,1,sparse,present,hurricane-michael_00000390_pre_disaster.png,hurricane-michael_00000390_pre_disaster_target.png
hurricane-michael_00000395,1,1,1,0,0,1.0,1.0,1.0,0.738318,0,0,0,sparse,present,hurricane-michael_00000395_pre_disaster.png,hurricane-michael_00000395_pre_disaster_target.png
hurricane-michael_00000397,27,24,24,3,0,0.888889,1.0,0.941176,0.770402,0,1,3,medium,present,hurricane-michael_00000397_pre_disaster.png,hurricane-michael_00000397_pre_disaster_target.png
hurricane-michael_00000398,13,10,7,6,3,0.538462,0.7,0.608696,0.768431,1,0,3,medium,present,hurricane-michael_00000398_pre_disaster.png,hurricane-michael_00000398_pre_disaster_target.png
hurricane-michael_00000399,174,194,157,17,37,0.902299,0.809278,0.853261,0.80542,1,3,-20,dense,present,hurricane-michael_00000399_pre_disaster.png,hurricane-michael_00000399_pre_disaster_target.png
hurricane-michael_00000414,27,28,20,7,8,0.740741,0.714286,0.727273,0.770025,2,1,-1,medium,present,hurricane-michael_00000414_pre_disaster.png,hurricane-michael_00000414_pre_disaster_target.png
hurricane-michael_00000418,41,42,29,12,13,0.707317,0.690476,0.698795,0.804354,3,0,-1,dense,present,hurricane-michael_00000418_pre_disaster.png,hurricane-michael_00000418_pre_disaster_target.png
hurricane-michael_00000420,85,72,58,27,14,0.682353,0.805556,0.738854,0.789186,3,1,13,dense,present,hurricane-michael_00000420_pre_disaster.png,hurricane-michael_00000420_pre_disaster_target.png
hurricane-michael_00000426,106,82,70,36,12,0.660377,0.853659,0.744681,0.77546,3,5,24,dense,present,hurricane-michael_00000426_pre_disaster.png,hurricane-michael_00000426_pre_disaster_target.png
