epoch,loss_mode,gap_01,gap_12,gap_23,s0,s1,s2,s3,tau,train_loss,train_macro_f1,val_loss,val_macro_f1
25,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.1590970958458407,0.7825349458621348,0.2930459784084781,0.7074738679744151
26,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.15352384520038964,0.788421140382387,0.2940037836805779,0.7080107583853361
27,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.14492731174818024,0.7956037528423672,0.3248794323830982,0.7064119468500529
28,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.13960570705043812,0.8023444682101426,0.3397325787581643,0.6595429214547056
29,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.13326968007442175,0.8059611079603619,0.3384099427880502,0.7110808191577757
30,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.12751762248748158,0.81319316926469,0.3473530918306387,0.6997985775212214
31,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.12123120872687497,0.8201259319066605,0.36452493749803794,0.7112526389874883
32,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.11592336348724369,0.8244791134795096,0.3632979804021047,0.6981633934447654
33,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.1112870882707271,0.8304966692624807,0.3983014748081432,0.7111716155408184
34,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.10560301219261507,0.8353360282622405,0.38897377419541895,0.709736785215012
35,weighted_ce,1.0,1.0,1.0,0.0,0.3333333432674408,0.6666666269302368,1.0,,0.10107667580099866,0.8405178892701994,0.4053698556328436,0.7076401863902999
