epoch,loss_mode,gap_01,gap_12,gap_23,s0,s1,s2,s3,tau,train_loss,train_macro_f1,val_loss,val_macro_f1
1,learnable_cda,1.3467730283737183,0.7340004444122314,0.7191992998123169,0.0,0.4809948801994324,0.7431403398513794,0.9999996423721313,0.24986769258975983,0.6987288117432625,0.6351970296250291,0.5513018943672393,0.6880117829984126
2,learnable_cda,1.5823826789855957,0.49446025490760803,0.624360203742981,0.0,0.5858064293861389,0.7688582539558411,0.9999996423721313,0.14348576962947845,0.570474447273854,0.67435962902719,0.4369269311881884,0.707073852928215
3,learnable_cda,1.220347285270691,0.5876591205596924,0.8281243443489075,0.0,0.4629310667514801,0.6858558654785156,0.9999996423721313,0.08363433927297592,0.49187940693856225,0.6869251618149033,0.393527983995976,0.7192176453829422
4,learnable_cda,1.1324341297149658,0.682167112827301,0.8412110805511475,0.0,0.42639824748039246,0.6832563281059265,0.9999996423721313,0.06341244280338287,0.4429129419904473,0.7051950889480005,0.3795301805271965,0.7063807555511225
5,learnable_cda,1.1212120056152344,0.7406473755836487,0.8734274506568909,0.0,0.40990641713142395,0.6806813478469849,0.9999996423721313,0.05520385876297951,0.4193584310164925,0.7174275651299249,0.3860059986516017,0.7000186327946143
6,learnable_cda,1.1592540740966797,0.7878034114837646,0.8895409107208252,0.0,0.4086773991584778,0.6864055395126343,0.9999996423721313,0.051908940076828,0.40363103155946756,0.7263461537856899,0.37157609909018824,0.7298042432446397
7,learnable_cda,1.1688718795776367,0.809285581111908,0.9356553554534912,0.0,0.4011484384536743,0.6788894534111023,0.9999997019767761,0.050664521753787994,0.39000263079110964,0.7337785494595986,0.3707053217063541,0.7265397915355405
8,learnable_cda,1.188562035560608,0.8203351497650146,0.9494016170501709,0.0,0.40177199244499207,0.6790715456008911,0.9999997019767761,0.050229936838150024,0.38166134467559826,0.7397502917178195,0.3576757935667713,0.7320298173108323
9,learnable_cda,1.1959208250045776,0.8294203281402588,0.9537975192070007,0.0,0.4014316201210022,0.6798409223556519,0.9999997019767761,0.05007898434996605,0.37056668641342033,0.7440737265743751,0.3766926462640476,0.732571601339365
10,learnable_cda,1.1989749670028687,0.8348454236984253,0.9555536508560181,0.0,0.4010787904262543,0.6803496479988098,0.9999997019767761,0.050027769058942795,0.36127189713946695,0.749670491112771,0.3612892076088083,0.7213096194461008
11,learnable_cda,1.2008812427520752,0.8351352214813232,0.9581570625305176,0.0,0.40107256174087524,0.6799926161766052,0.9999997019767761,0.05000977963209152,0.3523487597124833,0.7559936523896856,0.3549271010250517,0.7279404537753998
12,learnable_cda,1.194217562675476,0.8406825661659241,0.9611111283302307,0.0,0.39860236644744873,0.6792029142379761,0.9999997019767761,0.050003498792648315,0.3435750039027647,0.7598148588361724,0.35648286082722186,0.7386302045417794
13,learnable_cda,1.2048755884170532,0.8446587324142456,0.9481719732284546,0.0,0.40193235874176025,0.6837006211280823,0.9999997019767761,0.05000130087137222,0.33439893794074077,0.7647803418835357,0.36826740357236193,0.7411874006141357
14,learnable_cda,1.1999566555023193,0.8460214138031006,0.9519506096839905,0.0,0.400261789560318,0.6824637055397034,0.9999997019767761,0.05000050365924835,0.3277581155491868,0.7700258311998147,0.37087835759450244,0.7179131656814751
15,learnable_cda,1.205628514289856,0.8357479572296143,0.9589790105819702,0.0,0.40182843804359436,0.6803780198097229,0.9999997019767761,0.05000021308660507,0.32053259768324316,0.7727429470819699,0.37418787328036934,0.7239738477992911
16,learnable_cda,1.2017449140548706,0.8455453515052795,0.9512808322906494,0.0,0.40077242255210876,0.6827551126480103,0.9999997019767761,0.05000010132789612,0.3121771234699927,0.7773451011951386,0.38284049160598654,0.7159485914894963
17,learnable_cda,1.189276933670044,0.8520312905311584,0.9555659890174866,0.0,0.3968390226364136,0.6811455488204956,0.9999997019767761,0.05000005662441254,0.3041111146993479,0.7828785438379717,0.3691700759902942,0.7464017903300324
18,learnable_cda,1.192625641822815,0.8525429964065552,0.9524697065353394,0.0,0.3978549540042877,0.6822597980499268,0.9999997019767761,0.050000034272670746,0.29543343160323615,0.7876312724783859,0.3844012263157823,0.7092494341070689
19,learnable_cda,1.1952654123306274,0.8515002131462097,0.9522477388381958,0.0,0.3985527455806732,0.6824793815612793,0.9999997019767761,0.05000002309679985,0.28604445584026467,0.7943185107282428,0.39637331545103893,0.728253513691271
20,learnable_cda,1.186464786529541,0.8595790266990662,0.9520853757858276,0.0,0.39573490619659424,0.682439923286438,0.9999997019767761,0.05000001937150955,0.2771818845149105,0.7982071731088773,0.38568360433681154,0.7296213664468332
21,learnable_cda,1.1887718439102173,0.8567046523094177,0.9533424377441406,0.0,0.39641323685646057,0.6820937991142273,0.9999997019767761,0.050000015646219254,0.2679013730693441,0.8047161995740256,0.38346091438863106,0.7438820504129904
